SIMBOLO ESPECIAL		#		NUMERAL
INSTRUCCION DEL PROCESADOR		include		INCLUDE
OPERADOR RELACIONAL		<		MENOR
IDENTIFICADOR		bits		bits
OPERADOR ARITMÉTICO		/		DIVISIÓN
IDENTIFICADOR		stdc		stdc
INCREMENTO		++		INCREMENTO-POSITIVO
SIMBOLO ESPECIAL		.		PUNTO
IDENTIFICADOR		h		h
OPERADOR RELACIONAL		>		MAYOR
IDENTIFICADOR		using		using
IDENTIFICADOR		namespace		namespace
IDENTIFICADOR		std		std
SIMBOLO ESPECIAL		;		PUNTO-Y-COMA
TIPO DE DATO		int		INT
IDENTIFICADOR		t		t
SIMBOLO ESPECIAL		,		COMA
IDENTIFICADOR		n		n
SIMBOLO ESPECIAL		,		COMA
IDENTIFICADOR		m		m
SIMBOLO ESPECIAL		,		COMA
IDENTIFICADOR		ar		ar
SIMBOLO ESPECIAL		[		CORCHETE-ABIERTO
NÚMERO ENTERO		30		30
SIMBOLO ESPECIAL		]		CORCHETE-CERRADO
SIMBOLO ESPECIAL		;		PUNTO-Y-COMA
TIPO DE DATO		int		INT
IDENTIFICADOR		memo		memo
SIMBOLO ESPECIAL		[		CORCHETE-ABIERTO
NÚMERO ENTERO		102		102
SIMBOLO ESPECIAL		]		CORCHETE-CERRADO
SIMBOLO ESPECIAL		;		PUNTO-Y-COMA
TIPO DE DATO		int		INT
IDENTIFICADOR		sum		sum
SIMBOLO ESPECIAL		(		PARENTESIS-ABIERTO
TIPO DE DATO		int		INT
IDENTIFICADOR		i		i
SIMBOLO ESPECIAL		,		COMA
TIPO DE DATO		int		INT
IDENTIFICADOR		x		x
SIMBOLO ESPECIAL		)		PARENTESIS-CERRADO
SIMBOLO ESPECIAL		{		LLAVE-ABIERTA
ESTRUCTURA SELECTIVA		if		IF
SIMBOLO ESPECIAL		(		PARENTESIS-ABIERTO
IDENTIFICADOR		x		x
OPERADOR RELACIONAL		==		IGUAL
NÚMERO ENTERO		0		0
SIMBOLO ESPECIAL		)		PARENTESIS-CERRADO
RETURN		return		RETURN
IDENTIFICADOR		memo		memo
SIMBOLO ESPECIAL		[		CORCHETE-ABIERTO
IDENTIFICADOR		i		i
SIMBOLO ESPECIAL		]		CORCHETE-CERRADO
ASIGNACIÓN		=		ASIGNACIÓN
NÚMERO ENTERO		1		1
SIMBOLO ESPECIAL		;		PUNTO-Y-COMA
ESTRUCTURA SELECTIVA		if		IF
